ds,y
2015-11-18,5.76972
2015-11-19,5.71996
2015-11-20,5.645239999999999
2015-11-23,5.643179999999999
2015-11-24,5.59436
2015-11-25,5.68764
2015-11-26,5.68138
2015-11-27,5.63082
2015-11-30,5.785819999999999
2015-12-01,5.83966
2015-12-02,5.78184
2015-12-03,5.6975
2015-12-04,5.68386
2015-12-07,5.64858
2015-12-08,5.68154
2015-12-09,5.67952
2015-12-10,5.71696
2015-12-11,5.85402
2015-12-14,5.90442
2015-12-15,5.8640799999999995
2015-12-16,5.9120800000000004
2015-12-17,5.80856
2015-12-18,5.82334
2015-12-21,5.938599999999999
2015-12-22,5.91014
2015-12-23,5.89902
2015-12-24,5.8953999999999995
2015-12-28,5.84066
2015-12-29,5.70228
2015-12-30,5.78632
2015-12-31,5.787566666666667
2016-01-04,5.95446
2016-01-05,5.88634
2016-01-06,5.90412
2016-01-07,5.90048
2016-01-08,5.86838
2016-01-11,5.8537
2016-01-12,5.8110599999999994
2016-01-13,5.74602
2016-01-14,5.7935
2016-01-15,5.79876
2016-01-18,5.7685
2016-01-19,5.7284
2016-01-20,5.79532
2016-01-21,5.8652
2016-01-22,5.90878
2016-01-25,5.84742
2016-01-26,5.84404
2016-01-27,5.7912
2016-01-28,5.85126
2016-01-29,5.769019999999999
2016-02-01,5.72012
2016-02-02,5.7523
2016-02-03,5.75018
2016-02-04,5.64622
2016-02-05,5.6570599999999995
2016-02-10,5.708166666666666
2016-02-11,5.71862
2016-02-12,5.7807200000000005
2016-02-15,5.771980000000001
2016-02-16,5.77346
2016-02-17,5.75924
2016-02-18,5.76064
2016-02-19,5.77994
2016-02-22,5.58954
2016-02-23,5.59624
2016-02-24,5.5583800000000005
2016-02-25,5.49758
2016-02-26,5.50796
2016-02-29,5.52992
2016-03-01,5.569599999999999
2016-03-02,5.49246
2016-03-03,5.43886
2016-03-04,5.2793
2016-03-07,5.3472
2016-03-08,5.37268
2016-03-09,5.26456
2016-03-10,5.2236400000000005
2016-03-11,5.202859999999999
2016-03-14,5.19458
2016-03-15,5.25884
2016-03-16,5.36334
2016-03-17,5.27286
2016-03-18,5.24272
2016-03-21,5.21448
2016-03-22,5.13206
2016-03-23,5.1601799999999995
2016-03-24,5.2219
2016-03-28,5.18844
2016-03-29,5.23968
2016-03-30,5.2054
2016-03-31,5.11766
2016-04-01,5.0864400000000005
2016-04-04,5.12624
2016-04-05,5.18008
2016-04-06,5.18412
2016-04-07,5.20296
2016-04-08,5.1305
2016-04-11,5.0287999999999995
2016-04-12,5.04162
2016-04-13,5.03958
2016-04-14,4.97044
2016-04-15,5.00554
2016-04-18,5.11506
2016-04-19,5.11702
2016-04-20,5.1075
2016-04-22,5.15762
2016-04-25,5.14078
2016-04-26,5.15814
2016-04-27,5.13964
2016-04-28,5.0997
2016-04-29,5.0487400000000004
2016-05-02,5.13462
2016-05-03,5.18122
2016-05-04,5.12864
2016-05-05,5.11566
2016-05-06,5.10918
2016-05-09,5.0994
2016-05-10,5.02542
2016-05-11,5.01068
2016-05-12,5.05098
2016-05-13,5.03346
2016-05-16,5.04506
2016-05-17,5.07122
2016-05-18,5.16376
2016-05-19,5.25568
2016-05-20,5.14654
2016-05-23,5.155939999999999
2016-05-24,5.18576
2016-05-25,5.26412
2016-05-27,5.29416
2016-05-30,5.265300000000001
2016-05-31,5.2431600000000005
2016-06-01,5.206740000000001
2016-06-02,5.19158
2016-06-03,5.14454
2016-06-06,5.069
2016-06-07,5.0609
2016-06-08,4.934399999999999
2016-06-09,4.8948599999999995
2016-06-10,4.918100000000001
2016-06-13,4.91346
2016-06-14,4.92412
2016-06-15,4.93068
2016-06-16,4.91554
2016-06-17,4.90936
2016-06-20,4.96526
2016-06-21,4.975440000000001
2016-06-22,4.98208
2016-06-23,4.9706
2016-06-24,4.61614
2016-06-27,4.48012
2016-06-28,4.43814
2016-06-29,4.38182
2016-06-30,4.2900599999999995
2016-07-01,4.2930399999999995
2016-07-04,4.3156
2016-07-05,4.293699999999999
2016-07-06,4.295260000000001
2016-07-07,4.3264
2016-07-08,4.26988
2016-07-11,4.28824
2016-07-12,4.32268
2016-07-13,4.3474200000000005
2016-07-14,4.305400000000001
2016-07-15,4.32766
2016-07-18,4.32996
2016-07-19,4.30602
